modelo,combustivel,cor,ano,km,valor
CHERY TIGGO 8 TGDI 2022,GASOLINA,PRETO,2022,30.000,"R$171.500,00"
VOLKSWAGEN TAOS 1.4 250 TSI HIGHLINE 2022,FLEX,CINZA,2022,23.000,"R$184.000,00"
VOLKSWAGEN TAOS HIGHLINE 250 TSI 2022,FLEX,BRANCO,2022,9.000,"R$189.500,00"
HYUNDAI HB20 VISION 1.0 FLEX 12V MEC 2022,FLEX,PRETO,2022,30.000,"R$66.000,00"
CITROEN C4 CACTUS FEEL PACK 1.6 16V FLEX AUT 2022,FLEX,CINZA,2022,24.000,"R$97.000,00"
FIAT TORO FREED AT9 4X4 2022,DIESEL,PRATA,2022,34.000,"R$160.000,00"
CHEVROLET TRACKER PREMIER 1.2 TURBO 12V FLEX AUT 2022,FLEX,VERMELHO,2022,19.000,"R$134.000,00"
VOLVO XC40 Pure (Elétrico) 2022,OUTROS,VERMELHO,2022,12.000,"R$360.500,00"
MITSUBISHI TRITON SPORT HPE S 2022,DIESEL,CINZA,2022,30.000,"R$292.000,00"
FIAT PULSE AUDACE TF200 2022,FLEX,CINZA,2022,6.000,"R$112.000,00"
RENAULT KWID ZEN 1.0 MECANICO _4P_ 2022,FLEX,PRETO,2022,10.000,"R$52.000,00"
VOLKSWAGEN TAOS COMFORTLINE 1.4 250 TSI FLEX AUT 2022,FLEX,CINZA,2022,18.000,"R$155.000,00"
HYUNDAI CRETA ULTIMATE 2.0 16V FLEX AUT 2022,FLEX,PRATA,2022,10.000,"R$155.500,00"
HYUNDAI HB20 VISION 1.0 FLEX 12V MEC 2022,FLEX,BRANCO,2022,32.000,"R$68.000,00"
TOYOTA HILUX SW4 SRX DIAMO 4X4 2.8 TB DIE AUT 2022,DIESEL,PRATA,2022,9.000,"R$410.500,00"
HYUNDAI HB20S 10M VISION 2022,FLEX,PRETO,2022,56.410,"R$79.990,00"
RENAULT OROCH 16 4X2 2022,FLEX,PRATA,2022,63.358,"R$95.990,00"
FIAT TORO FREEDOM TURBO AT6 2022,FLEX,BRANCO,2022,17.000,"R$142.990,00"
FIAT STRADA ENDURANCE CABINE SIMPLES 2022,FLEX,BRANCO,2022,23.848,"R$86.900,00"
CHEVROLET S10 LTZ DD4A 4X4 AUT. 2022,DIESEL,PRETO,2022,41.907,"R$245.900,00"
FIAT STRADA FREEDOM 13CS 2022,FLEX,VERMELHO,2022,30.000,"R$92.900,00"
TOYOTA HILUX CD SRX A 4FD 2022,DIESEL,BRANCO,2022,0,"R$339.900,00"
FIAT TORO VOLC AT9 4X4 2022,DIESEL,BRANCO,2022,8.930,"R$179.900,00"
FIAT MOBI TREKKING MT 2022,FLEX,PRETO,2022,20.000,"R$62.900,00"
RENAULT SANDERO 1.0 12V SCE FLEX ZEN MANUAL 2022,GASOLINA,BRANCO,2022,8.400,"R$71.900,00"
FIAT PULSE MT 2022,FLEX,CINZA,2022,23.000,"R$89.800,00"
RENAULT SANDERO ZEN 2022,FLEX,CINZA,2022,38.000,"R$65.800,00"
TOYOTA CCROSS XRX HYBRID 2022,FLEX,BRANCO,2022,12.000,"R$189.800,00"
HYUNDAI HB20 VISION 2022,FLEX,BRANCO,2022,16.300,"R$69.800,00"
RENAULT OROCH EXP 1.6 SCE 2022,FLEX,VERMELHO,2022,27.000,"R$97.800,00"
NISSAN VERSA EXCL CVT 2022,FLEX,BRANCO,2022,19.980,"R$107.800,00"
VOLKSWAGEN GOL 1.0 L MC4 2022,FLEX,PRETO,2022,0,"R$66.900,00"
VOLKSWAGEN Gol 2022,FLEX,PRETO,2022,66.199,"R$59.990,00"
CITROEN C4 2022,FLEX,CINZA,2022,35.498,"R$89.990,00"
VOLKSWAGEN Gol 2022,FLEX,PRETO,2022,59.800,"R$59.990,00"
CHEVROLET TRACKER A LTZ 2021,FLEX,PRATA,2021,54.588,"R$114.800,00"
VOLKSWAGEN GOL MC4 _4P_ 2021,FLEX,BRANCO,2021,37.658,"R$54.990,00"
VOLKSWAGEN GOL MC4 _4P_ 2021,FLEX,BRANCO,2021,37.688,"R$55.990,00"
RENAULT DUSTER ICONIC CVT 2021,FLEX,PRATA,2021,63.272,"R$103.900,00"
VOLKSWAGEN GOL 1.6L MB5 2021,FLEX,BRANCO,2021,30.000,"R$61.900,00"
CHEVROLET ONIX 10MT LT2 2021,FLEX,PRETO,2021,14.125,"R$72.990,00"
FIAT STRADA VOLCANO 1.3 CD 2021,FLEX,BRANCO,2021,43.000,"R$109.800,00"
VOLKSWAGEN POLO COMFORT 200 TSI 1.0 FLEX 12V AUT 2021,FLEX,PRATA,2021,36.000,"R$92.800,00"
FIAT TORO ENDURANCE MT5 CABINE DUPLA 2021,FLEX,VERMELHO,2021,8.000,"R$102.800,00"
VOLKSWAGEN T-CROSS COMFORTLINE 1.0 TSI FLEX 5P AUT. 2021,FLEX,BRANCO,2021,30.000,"R$124.800,00"
FIAT STRADA FREEDOM CS 1.3 FLEX MANUAL 2021,FLEX,PRETO,2021,51.000,"R$84.800,00"
TOYOTA COROLLA 2.0 VVT-IE XEI DIRECT SHIFT FLEX 2021,FLEX,VERMELHO,2021,30.000,"R$128.800,00"
JEEP COMPASS LONGITUDE D 2021,DIESEL,BRANCO,2021,12.000,"R$182.800,00"
CHEVROLET ONIX JOY BLACK 2021,FLEX,VERMELHO,2021,27.252,"R$62.900,00"
FIAT TORO FREEDOM 1.8 AT6 2021,FLEX,PRETO,2021,0,"R$139.900,00"
FIAT MOBI LIKE 1.0 FLEX 4P 2021,FLEX,CINZA,2021,37.644,"R$53.900,00"
NISSAN VERSA V-DRIVE 1.0 12V FLEX MEC 2021,FLEX,CINZA,2021,30.487,"R$63.900,00"
FIAT ARGO DRIVE 1.0 2021,FLEX,CINZA,2021,27.750,"R$62.900,00"
FIAT TORO ENDURANCE MT5 2021,FLEX,BRANCO,2021,0,"R$108.900,00"
FIAT TORO FREEDOM 1.8 AT6 2021,FLEX,VERMELHO,2021,0,"R$139.900,00"
FIAT FIORINO ENDURANCE EVO 1.4 FLEX 2021,FLEX,BRANCO,2021,0,"R$93.900,00"
FIAT TORO FREEDOM 1.8 AT6 2021,FLEX,BRANCO,2021,0,"R$139.900,00"
FIAT TORO RANCH 2.0 16V 4X4 DIESEL AUT. 2021,DIESEL,BRANCO,2021,25.640,"R$165.900,00"
CHEVROLET ONIX PLUS 1.0T PREMIER 2 2021,FLEX,BRANCO,2021,49.906,"R$100.900,00"
NISSAN FRONTIER ATK X4 2021,DIESEL,VERMELHO,2021,0,"R$205.900,00"
FIAT ARGO TREKKING 1.3 2021,FLEX,PRETO,2021,22.996,"R$79.900,00"
CHEVROLET ONIX HATCH LTZ 1.0 12V TB FLEX AUT 2021,FLEX,BRANCO,2021,35.871,"R$83.990,00"
FIAT STRADA FREEDOM CS 1.3 FLEX MANUAL 2021,FLEX,VERMELHO,2021,34.256,"R$88.990,00"
RENAULT KWID OUTSIDER 1.0 2021,FLEX,BRANCO,2021,38.005,"R$57.990,00"
FIAT UNO ATTRACTIVE 1.0 2021,FLEX,CINZA,2021,75,"R$95.990,00"
FIAT STRADA VOLCANO 1.3 CD 2021,FLEX,PRETO,2021,35.684,"R$108.990,00"
NISSAN FRONTIER LE CD 4X4 2.3 BI-TB DIESEL AUT 2021,DIESEL,BRANCO,2021,5.875,"R$245.990,00"
FIAT MOBI LIKE 2021,FLEX,PRETO,2021,29.978,"R$49.990,00"
VOLKSWAGEN POLO HIGHLINE 200 TSI 1.0 FLEX 12V AUT 2021,FLEX,BRANCO,2021,21.569,"R$95.990,00"
FIAT FIORINO HD WK E 2021,FLEX,BRANCO,2021,0,"R$77.990,00"
PEUGEOT 208 GRIFFE 1.6 16V FLEX AUT. 2021,FLEX,BRANCO,2021,21.200,"R$99.900,00"
NISSAN VERSA 1.6 ADVANCE CVT 2021,FLEX,PRATA,2021,20.029,"R$99.990,00"
TOYOTA HILUX 2.8 SRX 4X4 2.8 TDI 16V DIESEL AUT 2021,DIESEL,BRANCO,2021,15.000,"R$298.990,00"
FIAT STRADA FREEDOM CS 1.3 FLEX MANUAL 2021,FLEX,CINZA,2021,35.355,"R$93.900,00"
CHEVROLET TRACKER LT 1.0 TURBO 12V FLEX AUT. 2021,FLEX,AZUL,2021,44.269,"R$107.900,00"
FIAT TORO ULTRA AT9 4X4 2021,DIESEL,PRATA,2021,39.000,"R$171.990,00"
HONDA CIVIC 2.0 EX AUTOMÁTICO 2021,FLEX,CINZA,2021,31.517,"R$134.900,00"
FORD RANGER LIMITED CABINE DUPLA 4A32C 2021,DIESEL,CINZA,2021,54.107,"R$233.900,00"
TOYOTA HILUX SW SRX A 4FD 4X4 2021,DIESEL,BRANCO,2021,15.201,"R$349.900,00"
FORD RANGER 2.2 XLS 4X4 CD 16V DIESEL 4P AUT 2021,DIESEL,CINZA,2021,43.274,"R$188.900,00"
FIAT ARGO 1.8 E TORQ FLEX HGT AT6 2021,FLEX,VERMELHO,2021,11.841,"R$87.900,00"
VOLKSWAGEN GOL MB5 _4P_ 2021,FLEX,BRANCO,2021,31.736,"R$59.900,00"
CHEVROLET ONIX 10MT LT2 2021,FLEX,PRETO,2021,81.548,"R$66.900,00"
FIAT MOBI LIKE 1.0 FIRE FLEX 5P. 2021,FLEX,PRETO,2021,41.600,"R$52.900,00"
VOLKSWAGEN VIRTUS COMFORT TSI 1.0 FLEX AUT 2021,FLEX,PRETO,2021,24.600,"R$91.900,00"
VOLKSWAGEN POLO MCA 2021,FLEX,BRANCO,2021,27.700,"R$69.900,00"
FORD RANGER XLS 4X4 STORM A 3.2 2021,DIESEL,BRANCO,2021,76.000,"R$209.990,00"
FIAT STRADA ENDURANCE CS 1.4 FLEX MANUAL 2021,FLEX,PRETO,2021,62.000,"R$89.990,00"
CHEVROLET ONIX PLUS JOY BLACK 2021,FLEX,PRATA,2021,52.000,"R$69.990,00"
FIAT TORO ENDURANCE ATD4 CABINE DUPLA 2021,DIESEL,PRETO,2021,47.000,"R$199.990,00"
TOYOTA HILUX CD SRV 4X4 2.8 TDI DIESEL AUT. 2021,DIESEL,BRANCO,2021,75.000,"R$269.990,00"
LAND ROVER EVOQUE P250FF SE R-DYNAMIC 2021,FLEX,PRETO,2021,15.000,"R$399.990,00"
MITSUBISHI TRITON SPORT HPE 2021,DIESEL,CINZA,2021,43.000,"R$274.990,00"
JEEP RENEGADE SPORT 1.8 FLEX AUT 2021,FLEX,PRATA,2021,16.000,"R$112.990,00"
TOYOTA HILUX CDSRXA4FD 2021,DIESEL,BRANCO,2021,52.000,"R$299.990,00"
JEEP COMPASS S 2.0 4X4 TB 16V DIESEL AUT. 2021,DIESEL,MARROM,2021,39.000,"R$199.990,00"
TOYOTA HILUX 2.8 STD 4X4 CD 2021,DIESEL,BRANCO,2021,53.000,"R$226.990,00"
VOLKSWAGEN NIVUS 1.0 200 TSI HIGHLINE 2021,FLEX,CINZA,2021,35.000,"R$125.990,00"
CHEVROLET ONIX 1.0MT LT 2021,FLEX,PRETO,2021,112.000,"R$75.990,00"
JEEP COMPASS LIMITED DIESEL 2021,DIESEL,PRATA,2021,32.000,"R$189.990,00"
TOYOTA HILUX SW4 SRX 4X4 2.8 TDI 16V DIES AUT 2021,DIESEL,PRATA,2021,21.000,"R$354.990,00"
NISSAN FRONTIER ATTACK 2.3 BITURBO 4X4 AUT 2021,DIESEL,PRETO,2021,40.000,"R$199.990,00"
JEEP COMPASS LONGITUDE 2.0 4X4 DIES. 16V AUT 2021,DIESEL,BRANCO,2021,42.000,"R$179.990,00"
CHEVROLET S10 LTZ DD4A 2021,DIESEL,BRANCO,2021,58.000,"R$249.990,00"
TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT 2021,DIESEL,BRANCO,2021,19.000,"R$309.990,00"
VOLKSWAGEN TIGUAN ALLSPACE R-LINE 350 2021,GASOLINA,BRANCO,2021,40.000,"R$258.990,00"
TOYOTA HILUX CD SRX 4X4 2.8 TDI 16V DIESEL AUT 2021,DIESEL,PRATA,2021,27.000,"R$305.990,00"
FORD RANGER LIMITED 3.2 4X4 CD AUT DIESEL 2021,DIESEL,BRANCO,2021,79.000,"R$249.990,00"
CHEVROLET S10 LS 2.8 TDI 4X4 CD 2021,DIESEL,BRANCO,2021,63.000,"R$179.990,00"
CHEVROLET ONIX PLUS 1.0TAT LT1 2021,FLEX,VERMELHO,2021,17.000,"R$84.990,00"
VOLVO S60 T8 R-DESIGN 2021,GASOLINA,AZUL,2021,26.000,"R$299.990,00"
FIAT STRADA FREEDOM CS 1.3 FLEX MANUAL 2021,FLEX,BRANCO,2021,21.000,"R$99.990,00"
CHEVROLET S10 HIGH COUNTRY DD4A CABINE DUPLA 2021,DIESEL,AZUL,2021,31.120,"R$259.990,00"
NISSAN VERSA V-DRIVE 1.0 12V FLEX MEC 2021,FLEX,BRANCO,2021,67.207,"R$61.900,00"
FIAT ARGO DRIVE 1.0 2021,FLEX,CINZA,2021,43.350,"R$62.900,00"
CHEVROLET ONIX 1.0 PREMIER AT TURBO 2021,GASOLINA,CINZA,2021,101.165,"R$89.900,00"
RENAULT KWID ZEN 10MT 2021,FLEX,PRATA,2021,51.668,"R$49.900,00"
VOLKSWAGEN VOYAGE MC4 2021,FLEX,BRANCO,2021,59.449,"R$55.900,00"
NISSAN VERSA 1.6 SENSE MT 2021,FLEX,BRANCO,2021,80.735,"R$79.900,00"
FIAT TORO ENDURANCE ATD4 CABINE DUPLA 2021,DIESEL,PRETO,2021,28.637,"R$151.990,00"
VOLKSWAGEN VOYAGE MB5 _4P_ 2021,FLEX,VERMELHO,2021,24.703,"R$64.990,00"
FIAT SIENA 1.0 2021,FLEX,PRETO,2021,31.325,"R$60.990,00"
HYUNDAI HB20S VISION 2021,FLEX,PRETO,2021,49.950,"R$78.990,00"
VOLKSWAGEN NIVUS LAUNCHING ED. 1.0 200 TSI FLEX AUT 2021,FLEX,CINZA,2021,39.412,"R$126.990,00"
FIAT MOBI LIKE 2021,FLEX,CINZA,2021,32.352,"R$56.990,00"
FIAT TORO ENDURANCE AT6 CABINE DUPLA 2021,FLEX,BRANCO,2021,15.161,"R$108.990,00"
VOLKSWAGEN VOYAGE MB5 _4P_ 2021,FLEX,VERMELHO,2021,31.197,"R$64.990,00"
RENAULT SANDERO ZEN 2021,FLEX,CINZA,2021,33.371,"R$55.990,00"
RENAULT LOGAN ZEN 2021,FLEX,CINZA,2021,25.200,"R$60.990,00"
RENAULT LOGAN LIFE 2021,FLEX,PRATA,2021,98.356,"R$53.990,00"
CHEVROLET ONIX PLUS 10TMT LT1 2021,FLEX,BRANCO,2021,0,"R$87.000,00"
CHEVROLET TRACKER 12T A PR 2021,FLEX,AZUL,2021,0,"R$130.000,00"
JEEP RENEGADE LNGTD AT 2021,FLEX,CINZA,2021,0,"R$98.000,00"
FORD KA SE 1.0 HA C 2021,FLEX,BRANCO,2021,0,"R$56.000,00"
HONDA FIT EX 1.5 16V FLEX AUT. 2021,FLEX,BRANCO,2021,23.000,"R$95.900,00"
FIAT ARGO DRIVE 1.0 2021,FLEX,BRANCO,2021,31.923,"R$62.900,00"
FIAT FIORINO ENDURANCE FURGÃO 2021,FLEX,BRANCO,2021,40.000,"R$79.900,00"
FIAT FIORINO 1.4 FLEX 2021,FLEX,BRANCO,2021,49.611,"R$79.900,00"
VOLKSWAGEN VOYAGE 1.6 MSI FLEX 8V 4P 2021,FLEX,PRATA,2021,26.975,"R$58.900,00"
NISSAN V-DRIVE 1.0 MT 2021,FLEX,PRATA,2021,29.577,"R$56.900,00"
CHEVROLET S10 LS DD4 2021,DIESEL,BRANCO,2021,50.000,"R$164.900,00"
FIAT STRADA ENDURANCE CS 2021,FLEX,BRANCO,2021,78.579,"R$72.900,00"
HYUNDAI HB20S DIAMOND PLUS 1.0 TURBO AT 2021,FLEX,PRETO,2021,77.758,"R$89.900,00"
FIAT UNO ATTRACTIVE 1.0 2021,FLEX,BRANCO,2021,35.527,"R$47.900,00"
CHEVROLET ONIX 1.0 MT JOY 2021,FLEX,PRETO,2021,36.000,"R$57.900,00"
VOLKSWAGEN VOYAGE 1.6L MB5 2021,FLEX,BRANCO,2021,43.000,"R$63.900,00"
FIAT TORO ULTRA 2.0 16V 4X4 DIESEL AUT 2021,DIESEL,AZUL,2021,31.442,"R$159.990,00"
FIAT ARGO TREKKING 1.3 2021,FLEX,CINZA,2021,45.300,"R$72.990,00"
FORD RANGER 3.2 LIMITED 4X4 CD 20V DIESEL 4P AUT 2021,DIESEL,PRATA,2021,27.123,"R$245.990,00"
JEEP COMPASS TRAILHAWK 2.0 16V 4X4 AUT DIESEL 2021,DIESEL,PRETO,2021,16.441,"R$189.990,00"
RENAULT LOGAN ZEN10MT 2021,FLEX,BRANCO,2021,0,R$Consulte
CITROEN C4 CACTUS FEEL PACK 2021,FLEX,BRANCO,2021,6.198,"R$89.900,00"
VOLKSWAGEN VOYAGE 1.6 4P 8V ALC./GAS. (NAC.) 2021,FLEX,BRANCO,2021,62.084,"R$59.900,00"
VOLKSWAGEN GOL 1.6 2021,FLEX,CINZA,2021,51.240,"R$58.900,00"
TOYOTA HILUX CDSRXA4FD 2021,DIESEL,BRANCO,2021,18.529,"R$298.990,00"
NISSAN VERSA 1.6 ADVANCE CVT 2021,FLEX,CINZA,2021,40.965,"R$97.900,00"
RENAULT KWID ZEN 1.0 2021,FLEX,VERMELHO,2021,35.051,"R$49.990,00"
VOLKSWAGEN NIVUS HL TSI AD 2021,FLEX,PRETO,2021,39.183,"R$119.900,00"
TOYOTA COROLLA XEI 2.0 16V FLEX AUT. 2021,FLEX,CINZA,2021,30.131,"R$129.900,00"
CHEVROLET TRACKER 12T A PR 2021,FLEX,AZUL,2021,27.880,"R$129.900,00"
NISSAN VERSA 1.6 ADVANCE CVT 2021,FLEX,PRETO,2021,66.218,"R$95.500,00"
VOLKSWAGEN VIRTUS 1.0 200 TSI COMFORTLINE AUTOMÁTICO 2021,FLEX,PRATA,2021,36.084,"R$93.500,00"
VOLKSWAGEN TIGUAN ALLSPACE RL 2021,GASOLINA,PRATA,2021,13.844,"R$259.900,00"
FORD RANGER LIMITED 3.2 4X4 CD AUT DIESEL 2021,DIESEL,PRETO,2021,31.711,"R$219.900,00"
VOLKSWAGEN GOL 1.0 TL MB S 2021,FLEX,BRANCO,2021,57.190,"R$55.500,00"
VOLKSWAGEN VIRTUS GTS 1.4 TSI 16V FLEX 4P 2021,FLEX,PRATA,2021,36.939,"R$129.900,00"
JEEP RENEGADE STD 1.8 4X2 FLEX 16V AUT 2021,FLEX,BRANCO,2021,46.668,"R$93.900,00"
VOLKSWAGEN T CROSS COMFORTLINE AD 2021,FLEX,BRANCO,2021,30.528,"R$117.990,00"
CHEVROLET ONIX PLUS JOY BLACK 2021,FLEX,BRANCO,2021,10.618,"R$67.990,00"
VOLKSWAGEN VIRTUS COMFORTLINE AD 2021,FLEX,BRANCO,2021,29.133,"R$92.990,00"
FIAT MOBI TREKKING MT 2021,FLEX,VERMELHO,2021,33.093,"R$61.990,00"
FORD RANGER XLTCD4A32C 2021,DIESEL,CINZA,2021,24.968,"R$229.990,00"
FORD KA SE PLUS AT C 2021,FLEX,BRANCO,2021,19.600,"R$68.990,00"
FIAT ARGO DRIVE 1.0 _4P_ 2021,FLEX,BRANCO,2021,42.950,"R$64.990,00"
MITSUBISHI TRITON SPORT OUTDOOR HPE S _4P_ 2021,DIESEL,PRETO,2021,23.445,"R$229.990,00"
FIAT STRADA 1.3 FIREFLY FLEX VOLCANO CD MANUAL 2021,GASOLINA,VERMELHO,2021,45.000,"R$115.900,00"
FIAT STRADA 1.4 FIRE FLEX ENDURANCE CS MANUAL 2021,GASOLINA,BRANCO,2021,54.000,"R$82.900,00"
TOYOTA HILUX 2.8 D-4D TURBO DIESEL CD SRX 4X4 AUTOMÁTICO 2021,DIESEL,BRANCO,2021,13.455,"R$305.900,00"
HYUNDAI HB20 1.0 12V FLEX VISION MANUAL 2021,GASOLINA,PRATA,2021,71.000,"R$70.900,00"
FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL 2021,GASOLINA,PRATA,2021,52.000,"R$63.900,00"
TOYOTA COROLLA 2.0 VVT-IE FLEX XEI DIRECT SHIFT 2021,GASOLINA,BRANCO,2021,44.000,"R$148.900,00"
CHEVROLET TRACKER 1.2 TURBO FLEX PREMIER AUTOMÁTICO 2021,GASOLINA,AZUL,2021,37.000,"R$133.900,00"
FIAT TORO 2.0 16V TURBO DIESEL VOLCANO 4WD AT9 2021,DIESEL,MARROM,2021,22.000,"R$173.900,00"
FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL 2021,GASOLINA,VERMELHO,2021,93.000,"R$68.900,00"
FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL 2021,GASOLINA,BRANCO,2021,52.000,"R$63.900,00"
FIAT FIORINO 1.4 MPI FURGÃO ENDURANCE 8V FLEX 2P MANUAL 2021,GASOLINA,BRANCO,2021,74.000,"R$86.900,00"
CHEVROLET TRAILBLAZER 2.8 PREMIER 4X4 16V TURBO DIESEL 4P AUTOMÁTICO 2021,DIESEL,CINZA,2021,47.000,"R$289.900,00"
JEEP RENEGADE 2.0 16V TURBO DIESEL MOAB 4P 4X4 AUTOMÁTICO 2021,DIESEL,CINZA,2021,14.000,"R$144.900,00"
FIAT GRAND SIENA 1.0 EVO FLEX MANUAL 2021,GASOLINA,BRANCO,2021,29.000,"R$59.900,00"
MITSUBISHI L200 2021,DIESEL,PRETO,2021,55.815,"R$209.990,00"
TOYOTA Hilux 2021,DIESEL,CINZA,2021,57.095,"R$299.990,00"
PEUGEOT 208 2021,FLEX,BRANCO,2021,49.351,"R$78.990,00"
CHEVROLET ONIX 2021,FLEX,AZUL,2021,51.686,"R$67.990,00"
VOLKSWAGEN Gol 2021,FLEX,BRANCO,2021,42.488,"R$68.990,00"
RENAULT LOGAN 2021,FLEX,PRATA,2021,135.667,"R$59.990,00"
NISSAN FRONTIER ATK X4 2021,DIESEL,CINZA,2021,17.946,"R$199.990,00"
VOLKSWAGEN SAVEIRO RB MBVS 2021,FLEX,BRANCO,2021,64.000,"R$72.990,00"
FIAT GRAND SIENA 1.4 2021,FLEX,PRETO,2021,53.987,"R$61.990,00"
FIAT FIORINO ENDURANCE 2021,FLEX,BRANCO,2021,24.134,"R$89.990,00"
HYUNDAI HB20 X 1.6 AUT EVOLUTION 2021,FLEX,PRATA,2021,17.508,"R$87.990,00"
VOLKSWAGEN POLO 1.6 MSI FLEX 16V 5P 2021,FLEX,PRATA,2021,21.559,"R$81.980,00"
VOLKSWAGEN SAVEIRO CROSS CD 1.6 16V T.FLEX 2021,FLEX,PRETO,2021,13.630,"R$104.980,00"
CHEVROLET ONIX 1.0T PLUS PREMIER MIDNIGHT 2021,FLEX,PRETO,2021,19.999,"R$94.980,00"
VOLKSWAGEN T-CROSS 200 TSI COMFORTLINE AUT 2021,FLEX,BRANCO,2021,6.800,"R$132.980,00"
FIAT TORO 1.8 16V EVO FLEX FREEDOM AT6 2021,FLEX,VERMELHO,2021,32.202,"R$118.900,00"
VOLKSWAGEN POLO 1.0 CONF. 2021,FLEX,BRANCO,2021,37.224,"R$92.980,00"
VOLKSWAGEN T-CROSS 1.0 200 TSI TOTAL FLEX COMFORTLINE AUTOMÁTICO 2021,GASOLINA,VERMELHO,2021,17.192,"R$124.980,00"
VOLKSWAGEN POLO 1.0 200 TSI COMFORTLINE AUTOMÁTICO 2021,GASOLINA,BRANCO,2021,37.224,"R$91.980,00"
CHEVROLET ONIX HATCH PREMIER TURBO 2021,FLEX,PRETO,2021,15.645,"R$88.980,00"
FIAT ARGO 1.0 FIREFLY FLEX DRIVE MANUAL 2021,FLEX,PRETO,2021,15.789,"R$65.980,00"
CHEVROLET ONIX 1.0 LT 8V FLEX 4P MANUAL 2021,FLEX,BRANCO,2021,40.512,"R$71.980,00"
FIAT FIORINO ENDURANCE 2021,FLEX,BRANCO,2021,14.000,"R$85.990,00"
JEEP RENEGADE 1.8 AUT 2021,FLEX,CINZA,2021,37.000,"R$99.990,00"
VOLKSWAGEN VIRTUS MF 2021,FLEX,BRANCO,2021,61.766,"R$79.990,00"
CHEVROLET ONIX JOY BLACK 2021,FLEX,CINZA,2021,11.078,"R$69.990,00"
VOLKSWAGEN GOL 1.0 MPI E-FLEX TRENDLINE 2021,FLEX,PRATA,2021,94.575,"R$51.990,00"
VOLKSWAGEN GOL 1.6L MB5 2021,FLEX,PRATA,2021,50.107,"R$57.990,00"
VOLKSWAGEN POLO 1.6 MSI FLEX 16V 5P 2021,FLEX,PRETO,2021,52.653,"R$79.990,00"
CHEVROLET S10 LS 2.8 TDI 4X4 CD 2021,DIESEL,PRATA,2021,64.649,"R$169.990,00"
RENAULT SANDERO 1.0 12V SCE FLEX GT LINE MANUAL 2021,GASOLINA,BRANCO,2021,40.906,"R$65.900,00"
RENAULT DUSTER 1.6 16V SCE FLEX ZEN MANUAL 2021,GASOLINA,BRANCO,2021,15.000,"R$85.900,00"
FIAT TORO 2.0 16V TURBO DIESEL VOLCANO 4WD AT9 2021,DIESEL,BRANCO,2021,47.558,"R$159.900,00"
FIAT TORO 1.8 16V EVO FLEX ENDURANCE AT6 2021,GASOLINA,VERMELHO,2021,39.391,"R$104.900,00"
PEUGEOT 208 HATCH ALLURE 1.6 AUT 2021,FLEX,BRANCO,2021,43.187,"R$84.990,00"
FIAT Toro FREEDOM AT9 2.0TD 4X4 2021,DIESEL,PRETO,2021,29.168,"R$156.990,00"
FIAT Uno ATTRACTIVE 1.0 2021,FLEX,BRANCO,2021,28.482,"R$58.990,00"
FORD Ranger XLS CD 4X2 AUT 2.2 2021,DIESEL,CINZA,2021,62.602,"R$167.990,00"
JEEP Renegade LIMITED AUT 2021,FLEX,BRANCO,2021,32.068,"R$118.990,00"
HYUNDAI HB20 1.0 MT SENSE 2021,FLEX,PRATA,2021,55.824,"R$63.990,00"
VOLKSWAGEN Virtus COMFORTLINE 200 TSI 2021,FLEX,PRETO,2021,10.083,"R$94.990,00"
VOLKSWAGEN Virtus COMFORTILINE 1.0 12V 200 TSI 2021,FLEX,PRATA,2021,59.783,"R$92.990,00"
CHEVROLET Tracker PREMIER 1.2 12V TURBO 2021,FLEX,CINZA,2021,66.286,"R$124.990,00"
TOYOTA Hilux CD SR 4X4 2.8 TDI DIESEL AUT 2021,DIESEL,BRANCO,2021,73.503,"R$222.990,00"
RENAULT Logan ZEN 1.6 16V SCE 2021,FLEX,BRANCO,2021,54.061,"R$65.990,00"
VOLKSWAGEN Nivus HIGHLINE 200TSI AD 2021,FLEX,PRATA,2021,13.859,"R$125.990,00"
FIAT Argo DRIVE 1.0 6V FLEX 2021,FLEX,PRATA,2021,73.307,"R$66.990,00"
PEUGEOT 2008 ALLURE PACK 2021,FLEX,BRANCO,2021,54.289,"R$83.000,00"
VOLKSWAGEN Gol 1.6 8V FLEX 4P 2021,FLEX,PRATA,2021,44.175,"R$64.990,00"
VOLKSWAGEN Voyage 1.6 8V MSI 2021,FLEX,PRATA,2021,54.362,"R$64.990,00"
CHEVROLET TRACKER LT 1.0 TURBO 12V FLEX AUT. 2021,FLEX,VERMELHO,2021,23.000,"R$106.900,00"
FIAT TORO ULTRA 2.0 16V 4X4 DIESEL AUT 2021,DIESEL,AZUL,2021,53.000,R$Consulte
CHEVROLET S10 LTZ 2.8 TURBO DIESEL 4X4 CD AUT 2021,DIESEL,VINHO,2021,38.000,R$Consulte
CHEVROLET S10 LTZ 2.8 TURBO DIESEL 4X4 CD AUT 2021,DIESEL,CINZA,2021,96.000,R$Consulte
NISSAN FRONTIER ATTACK 2.3 BITURBO 4X4 AUT 2021,DIESEL,BRANCO,2021,58.000,"R$197.900,00"
