modelo,combustivel,cor,ano,km,valor
RENAULT KWID 1.0 12V SCE ZEN MANUAL 2022,FLEX,BEGE,2022,5.658,"R$54.990,00"
FIAT ARGO TREKKING 1.3 2022,FLEX,PRETO,2022,23.892,"R$81.990,00"
HYUNDAI HB20 1.0 TGDI AT PLATINUM 2022,FLEX,PRETO,2022,16.667,"R$89.900,00"
CITROEN C4 CACTUS FEEL 1.6 AUT 2022,FLEX,CINZA,2022,14.777,"R$92.900,00"
CHEVROLET ONIX SEDAN PLUS LT 1.0 12V MANUAL 2022,FLEX,PRETO,2022,39.994,"R$80.990,00"
RENAULT SANDERO GT LINE/RLIN FLEX 1.0 12V 5P 2022,FLEX,PRATA,2022,35.872,"R$69.990,00"
VOLVO XC40 T5H INSCRIPTION 2022,GASOLINA,PRETO,2022,21.356,"R$314.990,00"
FIAT TORO FREED AT9 4X4 2022,DIESEL,BRANCO,2022,47.547,"R$161.990,00"
JEEP COMMANDER OVR T270 2022,FLEX,DOURADO,2022,13.039,"R$244.990,00"
VOLKSWAGEN GOL MC4 _4P_ 2022,FLEX,BRANCO,2022,6.783,"R$62.990,00"
FIAT PULSE DRIVE TF200 2022,FLEX,AZUL,2022,7.901,"R$103.990,00"
TOYOTA HILUX SW4 2.8 D-4D TURBO DIESEL SRX 7L 4X4 AUTOMÁTICO 2022,DIESEL,CINZA,2022,1.200,"R$379.900,00"
CHEVROLET ONIX 1.0 TURBO FLEX PLUS PREMIER AUTOMÁTICO 2022,GASOLINA,VERMELHO,2022,15.000,"R$107.900,00"
CHEVROLET SPIN 1.8 PREMIER 8V FLEX 4P AUTOMÁTICO 2022,GASOLINA,PRATA,2022,56.000,"R$99.900,00"
HYUNDAI HB20S 1.0 12V FLEX EVOLUTION MANUAL 2022,GASOLINA,PRETO,2022,82.000,"R$81.900,00"
RENAULT KWID 1.0 12V SCE FLEX INTENSE MANUAL 2022,GASOLINA,BRANCO,2022,7.500,"R$61.990,00"
VOLKSWAGEN NIVUS 1.0 200 TSI TOTAL FLEX HIGHLINE AUTOMÁTICO 2022,GASOLINA,BRANCO,2022,27.000,"R$119.990,00"
VOLKSWAGEN GOL 1.0 12V MPI TOTALFLEX 4P MANUAL 2022,GASOLINA,PRETO,2022,26.000,"R$62.900,00"
NISSAN KICKS 2022,FLEX,PRATA,2022,5.670,"R$118.990,00"
JEEP Commander 2022,DIESEL,BRANCO,2022,9.098,"R$279.990,00"
JEEP Commander 2022,DIESEL,BRANCO,2022,9.098,"R$279.990,00"
FIAT Toro 2022,FLEX,BRANCO,2022,39.066,"R$155.990,00"
FIAT 500e 2022,OUTROS,BRANCO,2022,7.708,"R$219.990,00"
RENAULT Kwid 2022,FLEX,PRATA,2022,13.501,"R$59.990,00"
FIAT Strada 2022,FLEX,BRANCO,2022,50.008,"R$94.990,00"
RENAULT KWID INTENSE 10MT 2022,FLEX,PRATA,2022,19.500,"R$60.990,00"
HYUNDAI HB20S EVOLUTION 1.0 MT 2022,FLEX,PRATA,2022,10.386,"R$79.980,00"
VOLKSWAGEN GOL 1.0 2022,FLEX,VERMELHO,2022,2.227,"R$61.980,00"
FIAT ARGO 1.0 FIREFLY FLEX MANUAL 2022,FLEX,PRETO,2022,17.200,"R$69.980,00"
HYUNDAI HB20 10M EVOLUTION 2022,FLEX,PRETO,2022,29.500,"R$72.990,00"
FIAT NOVA STRADA ENDURANCE CS 1.4 2022,FLEX,BRANCO,2022,17.146,"R$92.990,00"
CHEVROLET CRUZE 1.4 SPORT6 LT AUTOMATICO 2022,FLEX,PRATA,2022,0,"R$124.990,00"
FIAT ARGO 1.0 FIREFLY FLEX MANUAL 2022,FLEX,PRATA,2022,39.904,"R$67.990,00"
FIAT CRONOS DRIVE 1.3 2022,FLEX,VERMELHO,2022,28.722,"R$74.990,00"
VOLKSWAGEN GOL 1.0L MC5 2022,FLEX,CINZA,2022,15.013,"R$62.990,00"
HYUNDAI HB20S 1.0 VISION 2022,FLEX,AZUL,2022,45.968,"R$69.990,00"
VOLKSWAGEN SAVEIRO 1.6 CROSS CD 16V FLEX 2P MANUAL 2022,GASOLINA,BRANCO,2022,5.299,"R$109.900,00"
VOLKSWAGEN SAVEIRO 1.6 MSI TRENDLINE CS 8V FLEX 2P MANUAL 2022,GASOLINA,BRANCO,2022,7.911,"R$92.500,00"
CHEVROLET Onix PLUS 1.0TURBO AUT PREMIER-2 2022,FLEX,PRATA,2022,16.991,"R$103.000,00"
HONDA City 1.5 I-VTEC FLEX EXL CVT 2022,FLEX,AZUL,2022,19.760,"R$117.990,00"
BMW 320i ACTIVE FLEX GP 2022,FLEX,BRANCO,2022,33.105,"R$265.990,00"
